date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:46	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2006%20Jun%202019%2011:32:47%20GMT	http://xir.glitch.me/robots.txt		(from )
14:32:47	36827/36827	---M--	200	added ('OK')	text/html	etag:W/%228fdb-16ad9a23358%22	http://xir.glitch.me/	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/xir.glitch.me/index.html	(from )
14:32:47	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2006%20Jun%202019%2011:29:53%20GMT	https://i.postimg.cc/hjmh2X9f/xiryuvarlak.png	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/i.postimg.cc/hjmh2X9f/xiryuvarlak.1.delayed	(from http://xir.glitch.me/)
14:32:48	3474/3474	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2006%20Jun%202019%2011:30:13%20GMT	https://postimg.cc/8J115PXS	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/postimg.cc/8J115PXS.html	(from http://xir.glitch.me/)
14:32:49	13278/13278	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/use.fontawesome.com/releases/v5.6.3/css/all.css	(from http://xir.glitch.me/)
14:32:49	912/912	---MC-	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202019%2011:32:51%20GMT	https://fonts.googleapis.com/css?family=Ubuntu:300,400,500,700	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/fonts.googleapis.com/css8b01.css	(from http://xir.glitch.me/)
14:32:50	196/196	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Jun%202019%2011:32:52%20GMT	https://bitly.com/xirdavet	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/bitly.com/xirdavet.5.delayed	(from http://xir.glitch.me/)
14:32:51	2047/2047	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22ca93ba3a093378efcc2b280963fbffb2%22	https://discordapp.com/oauth2/authorize?client_id=509835376857186315&scope=bot&permissions=2146958847	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/discordapp.com/oauth2/authorize551c.html	(from http://xir.glitch.me/)
14:32:51	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2006%20Jun%202019%2011:29:56%20GMT	https://i.postimg.cc/sXJCfyzT/upbanner.jpg	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/i.postimg.cc/sXJCfyzT/upbanner.jpg	(from http://xir.glitch.me/)
14:32:52	3481/3481	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2006%20Jun%202019%2011:30:17%20GMT	https://postimg.cc/ygWbnMkR	C:/Users/G%c3%b6kay%20G%c3%bcler/Desktop/2/asd/postimg.cc/ygWbnMkR.html	(from http://xir.glitch.me/)
